City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,cam ranh,11.9214,109.1591,75.16,94,75,6.91,VN,1740249341
115,avarua,-21.2078,-159.775,80.65,89,75,11.5,CK,1740249342
116,atafu village,-8.5421,-172.5159,82.56,72,100,22.15,TK,1740249343
117,portland,45.5234,-122.6762,55.35,84,100,1.99,US,1740249344
118,ketchikan,55.3422,-131.6461,45.07,93,100,18.41,US,1740249346
119,jamestown,42.097,-79.2353,32.02,62,0,15.99,US,1740249348
120,kiunga,-6.1219,141.2906,72.64,99,100,3.22,PG,1740249349
121,cidreira,-30.1811,-50.2056,78.94,69,0,14.74,BR,1740249350
122,ouadda,8.0777,22.4007,78.35,19,3,5.06,CF,1740249351
123,la passe,45.5549,-0.8967,50.22,90,7,4.81,FR,1740249352
124,yass,-34.8333,148.9167,60.48,87,12,2.91,AU,1740249353
125,rundu,-17.9333,19.7667,69.78,78,100,0.92,NA,1740249355
126,bodo,67.28,14.405,46.44,71,0,16.11,NO,1740249356
127,dryden,49.7833,-92.7503,21.49,73,75,3.44,CA,1740249357
128,kourou,5.1552,-52.6478,80.55,80,71,8.59,GF,1740249358
129,voznesensk,47.5649,31.3308,22.39,69,5,5.53,UA,1740249359
130,lucerne valley,34.4439,-116.9678,67.69,13,100,3.71,US,1740249360
131,cavelossim,15.1726,73.9419,84.18,88,69,3.78,IN,1740249361
132,happy valley-goose bay,53.3168,-60.3315,25.11,33,0,13.8,CA,1740249362
133,kihancha,-1.1838,34.6262,64.83,54,57,5.03,KE,1740249364
134,usogorsk,63.4106,48.6872,22.12,91,100,8.61,RU,1740249365
135,mhamid,29.82,-5.72,65.28,22,0,6.51,MA,1740249366
136,praia grande,-24.0058,-46.4028,85.95,26,75,6.91,BR,1740249367
137,tazovsky,67.4667,78.7,-11.61,94,6,14.81,RU,1740249368
138,cascais,38.6979,-9.4215,59.05,70,20,8.05,PT,1740249369
139,lebanon,36.2081,-86.2911,39.49,56,100,5.75,US,1740249370
140,okha,53.5739,142.9478,-5.28,97,18,11.72,RU,1740249300
141,hithadhoo,-0.6,73.0833,81.79,75,0,8.46,MV,1740249373
142,winsen,53.3667,10.2167,51.49,80,100,6.26,DE,1740249374
143,hohoe,7.1518,0.4736,77.0,81,100,8.08,GH,1740249375
144,caleta de carquin,-11.0925,-77.6267,78.91,70,73,10.04,PE,1740249376
145,gamba,-2.65,10.0,80.47,86,100,7.0,GA,1740249377
146,geraldton,-28.7667,114.6,57.61,67,0,10.36,AU,1740249079
